Instance 	                  		 Solved   Time 	   Nodes Expanded   Distance	
5 0 4 12 1 11 2 9 7 6 10 8 3 13 	 True 	 0.000999 	 12836 		 12
1 0 11 3 8 10 4 7 5 9 12 6 2 13 	 True 	 0.000833 	 10557 		 12
8 0 3 5 7 6 11 10 9 2 12 4 1 13 	 True 	 0.000018 	 225 		 10
12 2 1 11 6 9 0 3 4 10 8 5 7 13 	 True 	 0.000141 	 1898 		 11
2 0 9 7 11 12 1 5 4 8 6 10 3 13 	 True 	 0.000045 	 600 		 10
11 2 0 7 1 9 3 5 4 6 12 8 10 13 	 True 	 0.001087 	 14744 		 12
7 12 11 1 6 9 10 8 3 4 5 2 0 13 	 True 	 0.000129 	 1894 		 11
6 2 3 8 11 12 9 1 5 4 10 7 0 13 	 True 	 0.000008 	 106 		 10
10 12 6 7 11 3 9 8 0 1 5 4 2 13 	 True 	 0.000039 	 533 		 11
12 8 3 0 1 6 9 11 4 7 10 5 2 13 	 True 	 0.000239 	 1744 		 11
5 12 6 0 10 2 4 11 9 7 3 1 8 13 	 True 	 0.000030 	 277 		 11
11 2 9 8 1 4 0 12 3 7 5 6 10 13 	 True 	 0.000304 	 3015 		 12
