Please enter a test file followed by ENTER: Instance 			 Solved   Time 	   Nodes Expanded   Distance	
10 0 1 12 3 13 8 15 9 11 4 7 6 5 2 14 16 	 True 	 0.949039 	 14487400 		 16
4 13 3 7 11 9 5 12 6 15 8 14 10 0 1 2 16 	 True 	 0.073750 	 907097 		 14
13 12 2 7 9 11 3 6 15 10 8 14 5 0 4 1 16 	 True 	 0.742625 	 11537789 		 15
8 1 5 14 12 0 4 15 9 10 11 2 7 13 6 3 16 	 True 	 0.275333 	 3111050 		 15
2 1 6 8 10 9 3 12 5 0 11 13 4 15 14 7 16 	 True 	 0.129390 	 1639932 		 14
14 6 4 8 5 1 2 10 11 9 12 15 7 13 0 3 16 	 True 	 0.705933 	 10043911 		 15
8 5 1 10 14 12 11 3 15 4 2 0 13 6 9 7 16 	 True 	 4.622688 	 73120513 		 16
10 5 3 8 13 14 11 1 2 12 6 0 15 7 4 9 16 	 True 	 0.189426 	 2807011 		 15
14 6 8 4 11 5 3 1 13 15 12 9 10 7 0 2 16 	 True 	 2.035321 	 32556768 		 16
15 5 0 14 8 12 6 7 11 3 4 1 13 9 10 2 16 	 True 	 0.354036 	 4316680 		 15
13 10 9 2 8 4 7 15 1 5 0 12 11 14 6 3 16 	 True 	 0.336079 	 5900310 		 15
7 3 14 2 12 6 10 0 11 8 13 9 1 4 5 15 16 	 True 	 0.028781 	 587868 		 14
