Instance 			         Solved   Time 	   Nodes Expanded   Distance	
5 0 10 7 1 2 9 4 8 3 6 11 	 True 	 0.000004 	 26 		 9
4 7 10 2 9 5 3 6 1 8 0 11 	 True 	 0.000005 	 30 		 10
0 10 3 2 9 7 5 8 1 6 4 11 	 True 	 0.000004 	 28 		 9
7 6 4 9 10 1 2 8 3 5 0 11 	 True 	 0.000001 	 7 		 7
1 3 4 8 9 7 10 0 2 6 5 11 	 True 	 0.000001 	 7 		 7
10 4 9 1 2 3 0 8 7 5 6 11 	 True 	 0.000001 	 11 		 8
10 9 8 0 5 6 2 3 4 1 7 11 	 True 	 0.000001 	 11 		 8
0 4 3 6 10 2 9 1 7 8 5 11 	 True 	 0.000001 	 9 		 9
5 1 7 2 4 3 9 10 6 8 0 11 	 True 	 0.000001 	 8 		 8
7 0 5 1 4 10 3 2 9 6 8 11 	 True 	 0.000002 	 16 		 9
3 9 10 5 7 1 2 6 4 0 8 11 	 True 	 0.000001 	 11 		 9
